,Train_Mean,Train_Std,Test_Mean,Test_Std
R2,0.9943204217841879,4.683981669159989e-05,0.9580060760168589,0.0005514004937713094
MSE,0.009441150352358818,7.075757457641885e-05,0.07023309171199799,0.0005366437835618854
MAE,0.06938198953866959,0.0002834483457263559,0.17994579672813416,0.00045200189924798906
RMSE,0.09716497361660004,0.0003641474468167871,0.26501351594924927,0.001013641245663166
R2_Difference,0.036314345767329025,0.0005685149067302513,,
