,Train_Mean,Train_Std,Test_Mean,Test_Std
R2,0.9917275620928034,0.00011319180434433812,0.956205355845068,0.0006653798988587024
MSE,0.013751375768479266,0.00019161287404138093,0.07324366044001225,0.0006720303387673088
MAE,0.09040476962441306,0.000590940498471165,0.18642255369732796,0.0004739137480299073
RMSE,0.11726368775458498,0.0008187406823594307,0.2706330913083432,0.0012429038142053052
R2_Difference,0.03552220624773557,0.000716228398037426,,
