,Train_Mean,Train_Std,Test_Mean,Test_Std
R2,0.9988751504052458,3.750166118094339e-06,0.9504894510299067,0.0006094707181298697
MSE,0.0018698472410023557,6.998335981526653e-06,0.0828044692042343,0.0005366531331563319
MAE,0.029463226425238565,5.982224835404973e-05,0.19395876818074803,0.0005794299167515134
RMSE,0.043241662239674634,8.088230305700117e-05,0.2877562961668912,0.000932869257660049
R2_Difference,0.048385699375338986,0.0006122138396532178,,
