,Train_Mean,Train_Std,Test_Mean,Test_Std
R2,0.9687552705609139,0.0009272610389692473,0.9470417583883259,0.0007894955286956701
MSE,0.05194228629592905,0.001688137078691137,0.0885708871897002,0.0009689816290784376
MAE,0.16860760976668962,0.002478957594169734,0.20992277367889942,0.0012348410702027854
RMSE,0.22788154392635138,0.003695076855529207,0.2976046079639695,0.0016277142501842125
R2_Difference,0.02171351217258811,0.0009342661312180278,,
